-----------------------------------New Session-----------------------------------
2021-04-09 15:37:01,503 | INFO | discord.client | logging in using static token
2021-04-09 17:42:15,066 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:16,130 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:16,420 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:17,431 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:20,129 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:20,480 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:21,445 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:21,747 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:22,692 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:25,322 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:25,693 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:26,623 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:26,991 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:27,945 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:30,642 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:30,942 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:31,948 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:32,248 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:33,211 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:35,896 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:36,203 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:37,161 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:37,524 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:38,429 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:41,190 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:41,471 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:42,513 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:42,866 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:43,796 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:46,477 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:46,791 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:47,743 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:48,087 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:49,077 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:51,824 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:52,124 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:53,132 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:53,432 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:54,427 | INFO | discord | Spam to id: <@!625847518181195799>
2021-04-09 17:42:57,138 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:58,600 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:42:59,422 | WARNING | discord.http | We are being rate limited. Retrying in 3.23 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:42:59,857 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:43:01,188 | INFO | discord | Spam to id: <@!430677550600028161>
